price,log_sqft_lot,log_yr_built,"BED_(1, 2]","BED_(2, 4]","BED_(4, 6]","FLOR_(1, 2]","FLOR_(2, 4]","VW_(1, 2]","VW_(2, 4]","VW_(4, 5]","VW_(5, 7]","WATER_(1, 4]","COND_(2, 3]","COND_(3, 4]","COND_(4, 6]",0,1
221900.0,0.2958575064291623,0.4855978406421258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
538000.0,0.32664421555675033,0.45074510484744174,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2570.0,8.178217821782136
180000.0,0.3666636206099863,0.2930183518222144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,770.0,7.899989998999832
604000.0,0.28070019728237144,0.5724186529729526,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1960.0,7.947194719471913
510000.0,0.3402236096353112,0.7618793806548194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1680.0,9.25452545254521
1230000.0,0.6545986935193944,0.8813561965579656,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5420.0,14.324632463246203
257500.0,0.3191801841291685,0.8302545296168907,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1715.0,8.561856185618506
291850.0,0.36302666044295934,0.555089891492611,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1060.0,8.150215021502108
229500.0,0.33048850553877623,0.5290636172836167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1780.0,8.241224122412197
323000.0,0.3143778916390432,0.8983560404324973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1890.0,8.668266826682608
662500.0,0.36410747062432963,0.5724186529729526,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3560.0,9.541554155415486
468000.0,0.3033115352607893,0.3720644711075813,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1160.0,7.926192619261893
310000.0,0.45201162544466716,0.2401162087909345,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1430.0,8.241224122412197
400000.0,0.3626301267504401,0.6760222746915937,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1370.0,7.95419541954192
530000.0,0.27692267669126625,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1810.0,7.947194719471913
650000.0,0.28070019728237144,0.6932283856652521,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2950.0,10.491849184918438
395000.0,0.40874640722366334,0.8217226456060325,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1890.0,8.31823182318227
485000.0,0.2619952926367599,0.1426997234709971,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1600.0,8.122212221222082
189000.0,0.36478924229391785,0.18704908999465777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1200.0,7.737173717371711
230000.0,0.36382863370567137,0.60702332641957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1250.0,7.891189118911859
385000.0,0.28020312645850315,0.41582083952945,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1620.0,7.97519751975194
2000000.0,0.5528307142984991,0.5983787530545069,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3050.0,11.870987098709769
285000.0,0.3093624428520639,0.8302545296168907,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2270.0,9.562556255625505
252700.0,0.36215517888769483,0.7447425793040506,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1070.0,7.849184918491819
329000.0,0.31323835218655427,0.7447425793040506,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2450.0,9.53455345534548
233000.0,0.272947284966553,0.3632996796167798,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1710.0,6.716871687168691
937000.0,0.20386731845306902,0.1338159632571336,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2450.0,9.226522652265182
667000.0,0.1379071519152691,0.08041578668499337,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1400.0,9.29652965296525
438000.0,0.3109273721910157,0.4245586278103562,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1520.0,8.05920592059202
719000.0,0.3254569277774134,0.9153389183921661,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2570.0,9.83558355835577
580500.0,0.2524045057333824,0.8983560404324973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2320.0,9.800580058005735
280000.0,0.11025272011134933,0.9153389183921661,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1190.0,7.968196819681933
687500.0,0.28070019728237144,0.2577685364145137,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2330.0,8.01720172017198
535000.0,0.21734811193317444,0.2577685364145137,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1090.0,9.093509350935054
322500.0,0.3162355376040072,0.7104171167258987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2060.0,8.409240924092359
696000.0,0.21980401405757652,0.2665878381424604,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2300.0,9.107510751075068
550000.0,0.521490267136746,0.2930183518222144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,6.508650865086454
640000.0,0.3033115352607893,0.0357872735542214,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2360.0,9.205520552055162
240000.0,0.3401468414468291,0.60702332641957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,7.898189818981866
605000.0,0.33185889522288464,0.8387821380655416,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2620.0,9.828582858285763
625000.0,0.2929706311238428,0.8728499018028983,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2570.0,10.722872287228661
775000.0,0.47619582388722564,0.7361677026785823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4220.0,9.68156815681562
861990.0,0.29561581815179294,0.9915528207234525,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3595.0,11.53145314531444
685000.0,0.18331272752217856,0.1959051101285309,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1570.0,8.10121012101206
309000.0,0.36232225980409233,0.5203793393185873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1280.0,6.9338933893389
488000.0,0.4048249210981956,0.8983560404324973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3160.0,10.129612961296054
210490.0,0.3469160465432261,0.5810764208031414,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,990.0,6.8554855485548245
785000.0,0.40310820884697596,0.7104171167258987,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2290.0,10.869886988698802
450000.0,0.30254438357653063,0.4681803956177699,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1250.0,7.67416741674165
1350000.0,0.5988122028277783,0.4681803956177699,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2753.0,10.869886988698802
228000.0,0.3563092354137803,0.4855978406421258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1190.0,7.828182818281798
345000.0,0.3554298082525582,0.5810764208031414,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3150.0,9.387538753875338
600000.0,0.2554820583049185,0.4420207558723634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1410.0,7.982198219821947
585000.0,0.34723557103192143,0.7104171167258987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1980.0,8.031203120311993
920000.0,0.3033115352607893,0.2401162087909345,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2730.0,9.905590559055836
885000.0,0.28070019728237144,0.8302545296168907,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2830.0,10.358835883588311
292500.0,0.26749561550782675,0.9407814982175087,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2250.0,8.570257025702514
301000.0,0.2743388539732302,0.8983560404324973,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2420.0,9.87758775877581
951000.0,0.411385766887143,0.5983787530545069,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3250.0,10.066606660665993
430000.0,0.36636561725186473,0.7961012972729382,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1850.0,9.583558355835526
650000.0,0.4600580754466951,0.5203793393185873,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2150.0,9.793579357935728
289000.0,0.3450404870994059,0.4768913465646629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1260.0,7.898189818981866
505000.0,0.3492498450817587,0.6415577721701456,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2519.0,9.744574457445681
549000.0,0.0864395045438528,0.9915528207234525,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1540.0,9.100510051005061
425000.0,0.3033115352607893,0.6932283856652521,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1660.0,8.003200320031967
317625.0,0.24695819480364414,0.22244555060577745,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2770.0,8.003200320031967
